time,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°),date
2016-08-19T00:00,28.7,0.0,0.0,19.0,4.0,26.0,0.0,4.1,195.0,2016-08-19
2016-08-20T00:00,27.5,0.0,0.0,40.0,4.0,61.0,0.0,8.2,128.0,2016-08-20
2016-08-21T00:00,26.2,0.0,0.0,51.0,37.0,29.0,0.0,8.9,137.0,2016-08-21
2016-08-22T00:00,25.0,1.4,1.4,94.0,7.0,97.0,99.0,12.9,162.0,2016-08-22
2016-08-23T00:00,22.6,0.0,0.0,0.0,0.0,0.0,0.0,13.6,323.0,2016-08-23
2016-08-24T00:00,25.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,207.0,2016-08-24
2016-08-25T00:00,26.2,0.0,0.0,1.0,0.0,0.0,3.0,10.4,166.0,2016-08-25
2016-08-26T00:00,26.9,0.0,0.0,67.0,45.0,44.0,0.0,8.0,190.0,2016-08-26
2016-08-27T00:00,28.2,0.0,0.0,0.0,0.0,0.0,0.0,7.9,330.0,2016-08-27
2016-08-28T00:00,26.0,0.0,0.0,25.0,0.0,0.0,84.0,7.9,156.0,2016-08-28
2016-08-29T00:00,25.4,0.0,0.0,5.0,1.0,4.0,5.0,11.4,156.0,2016-08-29
2016-08-30T00:00,27.8,0.0,0.0,0.0,0.0,0.0,0.0,11.6,355.0,2016-08-30
2016-08-31T00:00,24.4,0.0,0.0,31.0,1.0,1.0,99.0,10.6,162.0,2016-08-31
2016-09-01T00:00,26.5,0.0,0.0,65.0,3.0,72.0,62.0,10.5,174.0,2016-09-01
